#OTU ID	sample129	sample99	sample104	sample127	sample118	sample98	sample137	sample117	sample125	sample122	sample138	sample126	sample147	sample143	sample128	sample146	sample141	sample145	sample131	sample136	sample132	sample159	sample124	sample106	sample97	sample155	sample140	sample151	sample158	sample144	sample123	sample100	sample102	sample135	sample139	sample134	sample112	sample114	sample101	sample150	sample163	sample154	sample111	sample108	sample107	sample120	sample160	sample157	sample115	sample109	sample116	sample121	sample113	sample105	sample119	sample110	sample149	sample133	sample142	sample148	sample156	sample103	sample161	sample152	sample165	sample164	sample130	sample162	sample91	sample153	sample74	sample55	sample50	sample63	sample87	sample93	sample45	sample2	sample62
BOTU_4	3	72	234	0	65	36	3042	34	24	2	8901	11	23	4852	9	29	21	1099	17	5978	3	13	3	7	390	0	9926	0	11	58	2	18	20	976	7347	7	13	37	89	33	0	915	328	1	3	12	7	14	18	1063	3	2	17	0	69	478	199	6	215	9	0	38	0	0	0	0	16	0	8	0	0	0	0	0	0	0	0	0	0
BOTU_191	27	237	87	52	49	526	44	37	99	77	32	72	26	16	47	33	20	18	30	75	90	43	64	13	482	0	10	1151	64	15	77	72	42	63	27	51	118	29	61	23	0	0	36	19	34	45	69	34	29	53	35	79	44	8	2	33	21	26	23	9	8	225	0	583	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_6	3284	687	1819	1874	369	2100	2913	340	1893	1202	2456	2491	1389	1255	3071	963	690	655	670	1078	938	62	3646	187	373	142	295	56	84	645	1899	1240	1353	1938	2099	437	507	90	842	568	477	643	248	50	92	263	154	181	208	568	220	2123	124	35	67	205	1690	780	771	327	120	1013	0	21	273	212	412	0	3	0	0	0	0	0	0	0	0	0	0
BOTU_5605	8	2	7	7	8	0	242	2	12	6	95	10	60	22	38	165	162	3	105	136	243	2	7	5	2	0	12	24	8	5	2	13	6	45	262	28	4	4	2	0	0	0	8	0	2	11	9	71	9	8	6	6	20	2	0	2	2	46	2	22	0	2	0	4	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_80	530	121	655	325	367	160	660	123	478	463	493	434	438	407	684	232	393	106	143	528	243	87	676	81	142	21	173	46	92	266	610	437	569	443	447	164	185	57	337	209	113	301	100	58	60	147	128	121	549	283	122	441	72	75	94	143	795	222	234	178	63	333	0	45	90	18	171	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_77	230	154	382	310	253	180	540	134	392	218	604	435	190	427	249	276	267	140	251	506	310	153	325	98	152	0	278	61	258	388	204	250	366	561	568	133	315	374	310	392	9	14	188	125	78	358	683	178	118	259	110	310	501	21	20	98	380	207	393	98	0	245	0	129	60	11	120	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_1184	12	6	4	29	25	13	2	14	33	16	7	32	3	8	20	1	7	2	3	8	40	18	20	15	7	0	3	3	28	11	35	15	19	6	1	34	12	27	37	2	0	0	15	8	5	20	41	4	14	11	10	46	28	2	0	18	2	20	2	0	0	17	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_23	215	158	334	537	541	317	199	338	729	479	311	658	166	281	365	112	234	84	305	375	379	602	490	296	226	0	255	139	776	328	534	344	383	315	212	550	794	231	331	175	4	0	445	362	323	483	478	384	398	604	429	636	615	92	23	335	170	447	207	48	0	317	0	161	44	0	214	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_44	185	250	221	212	318	476	101	185	356	267	139	229	84	106	249	36	109	29	67	161	227	348	220	112	236	0	81	80	453	117	331	272	178	95	66	224	383	77	358	39	0	0	202	179	126	246	167	107	145	226	189	304	160	47	1	217	99	174	117	32	0	233	0	128	27	0	72	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_358	82	65	447	52	66	27	87	31	120	50	146	58	453	96	51	83	89	60	61	117	20	17	82	59	135	401	112	4	15	249	164	311	209	289	277	14	57	280	242	121	13	78	28	25	29	271	105	20	11	49	16	55	502	100	48	32	52	59	70	394	28	238	0	18	38	87	47	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_157	264	14	221	184	35	16	344	26	171	94	231	254	162	153	177	92	139	31	92	338	105	22	261	39	13	0	29	18	41	110	180	158	194	209	286	80	67	7	118	36	32	17	53	37	22	17	25	40	18	44	22	151	6	6	4	46	87	108	52	59	128	116	0	17	0	0	94	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_54	15	20	337	78	132	4	140	163	82	75	143	226	136	129	104	399	92	137	15	116	111	0	97	112	8	2	46	6	0	68	230	368	431	78	74	112	1187	6	253	156	21	277	187	8	17	213	11	0	257	369	200	116	1	7	74	115	183	289	68	1	155	158	0	2	296	0	10	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_3099	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_91	170	168	261	128	255	206	154	173	339	222	183	301	127	87	255	55	137	55	185	242	289	245	240	69	247	0	128	127	351	71	290	180	226	216	116	235	479	61	71	70	0	0	228	158	184	191	97	213	153	215	272	275	276	117	4	174	67	165	99	36	0	171	0	231	29	0	135	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_1071	7	0	5	3	4	0	9	0	12	14	14	17	14	3	4	7	2	1	1	5	7	0	12	6	0	76	2	0	0	5	10	1	7	0	2	3	4	0	4	0	0	1	0	0	0	0	0	0	1	8	0	13	0	0	0	5	4	6	9	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_6086	29	5	21	13	3	0	15	2	16	7	5	18	9	14	11	8	2	9	5	23	19	2	10	2	3	1	0	0	0	4	29	10	5	2	6	4	1	0	3	24	10	1	2	0	2	4	3	6	0	1	2	1	19	0	0	4	0	8	0	2	0	4	0	2	0	18	12	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_732	0	6	112	2	73	2	19	218	2	0	22	4	5	42	2	16	45	124	0	35	1	1	2	61	18	0	57	0	0	45	2	158	160	34	33	0	18	3	89	61	0	22	36	2	18	6	22	0	1	52	10	1	2	0	9	38	22	5	41	1	0	68	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_9	1064	499	707	1994	1838	834	439	1443	3317	1509	650	2866	433	534	1397	220	589	108	1198	730	1879	2787	1753	1138	607	0	548	697	2752	571	1966	809	1016	540	539	1782	2785	607	1110	371	8	0	1855	1149	1172	1845	1269	1360	1276	1615	1665	2507	1149	443	20	1744	474	1445	444	145	0	1163	0	1046	90	0	785	0	2	0	0	0	0	0	0	0	0	0	0
BOTU_121	57	63	166	53	113	114	58	84	78	95	73	88	50	74	166	31	79	16	103	81	112	123	70	50	99	0	41	61	174	78	168	74	91	94	83	126	112	64	52	30	0	0	82	74	81	88	101	129	83	98	116	144	210	48	4	88	34	126	43	12	0	82	0	67	25	0	63	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_25	487	95	27	409	949	102	52	609	313	484	28	338	87	60	712	38	44	18	422	60	581	1333	387	273	103	0	24	253	1429	123	678	27	51	42	79	612	232	84	61	18	0	0	366	220	242	468	198	486	314	419	833	575	209	67	0	253	30	580	24	10	0	45	0	298	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_3159	94	99	137	32	34	118	105	13	38	26	230	49	38	110	61	13	213	28	16	188	23	9	66	58	241	21	123	2	15	159	43	125	159	299	144	9	23	15	101	66	0	89	17	5	17	37	25	27	9	134	16	22	47	18	3	50	66	14	112	50	33	142	0	6	11	0	17	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_10232	2	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	1	1	0	1	0	2	0	0	0	3	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	1	1	4	3	1	1	2	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_758	16	0	56	20	9	2	30	11	18	42	10	25	16	15	23	9	5	0	8	15	20	1	27	6	0	0	11	1	0	16	53	42	53	16	13	7	9	0	64	23	0	15	2	0	2	1	0	10	2	10	10	37	0	0	17	0	16	17	5	2	0	31	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_177	38	122	321	51	104	140	216	42	82	63	179	85	131	243	79	60	122	94	114	257	79	67	53	122	172	0	185	29	135	145	74	318	419	299	170	83	110	63	293	112	0	190	164	37	81	68	114	75	48	231	63	80	210	28	61	165	47	83	110	46	0	198	0	15	6	0	63	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_11814	0	10	11	0	0	64	0	1	1	2	1	1	2	1	0	0	2	0	0	0	0	0	1	0	15	0	0	0	0	2	0	4	4	0	1	4	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_107	132	73	529	69	192	91	296	79	104	28	623	116	285	234	87	56	207	173	124	393	56	60	100	113	98	0	143	27	53	323	82	1278	355	793	215	41	109	139	647	158	0	143	85	27	76	195	190	92	83	160	39	58	225	6	217	32	56	75	190	121	68	1277	0	22	46	107	84	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_16	420	550	458	1011	1045	1535	347	675	1522	886	579	1355	267	583	578	175	396	131	611	586	1070	996	789	488	1431	0	406	252	1356	583	835	475	692	387	414	1100	1529	388	610	348	0	10	721	514	528	921	848	1084	469	835	810	1254	979	173	73	587	335	899	386	101	0	451	0	361	75	0	416	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_1069	14	3	20	11	2	0	29	0	13	8	22	12	32	5	42	16	10	5	14	19	25	0	17	3	0	0	12	0	0	3	51	31	27	15	27	30	2	0	16	8	0	0	1	0	0	1	0	9	0	5	0	0	1	0	0	12	0	25	1	4	0	12	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_864	0	11	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_66	119	0	31	149	119	0	29	1	33	2	31	25	454	107	49	15	42	7	290	22	18	0	106	20	0	0	15	0	0	421	14	43	11	85	175	5	0	595	25	900	0	118	2	15	18	777	2	3	36	129	19	9	996	211	5	58	208	18	7	454	0	37	0	0	0	1414	142	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_248	301	228	258	304	425	481	111	298	705	436	152	472	84	158	347	66	128	38	202	225	405	445	288	276	416	0	101	446	620	200	480	207	253	152	104	364	537	179	279	77	0	0	312	272	285	378	529	248	250	330	395	519	425	126	11	340	112	303	130	28	0	326	0	244	0	0	149	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_1172	1	0	0	53	1	0	15	0	57	0	12	67	1	2	13	4	2	0	0	20	0	0	36	0	0	0	0	0	0	0	0	0	0	7	7	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_367	38	34	101	18	45	11	40	41	62	44	52	87	37	38	46	38	30	16	89	71	62	92	57	7	140	0	19	15	84	16	43	34	53	28	42	56	92	13	7	37	0	0	37	37	31	68	36	92	78	76	60	48	94	19	7	20	16	48	19	15	0	34	0	161	7	0	67	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_9114	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_11536	15	10	40	42	20	19	34	6	32	12	46	16	27	42	13	123	22	12	152	54	97	12	47	11	4	0	13	10	20	15	38	27	13	37	343	12	13	78	36	23	0	0	11	6	14	18	171	30	19	10	10	29	47	0	2	18	25	120	17	13	0	15	0	3	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0
BOTU_1307	4	6	10	19	4	31	27	1	31	21	12	39	24	5	14	24	4	5	10	25	20	1	55	3	0	0	2	1	3	5	22	6	5	36	55	29	15	3	2	8	15	0	10	1	0	3	8	8	11	2	2	22	0	0	4	1	22	30	2	0	0	7	0	0	37	0	3	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_3662	4	40	3	2	5	12	2	5	5	6	3	6	9	2	5	18	1	3	5	3	7	1	3	0	21	0	0	3	11	0	7	4	4	0	0	6	23	3	3	2	0	0	1	4	1	8	2	3	6	4	5	16	4	7	0	1	7	17	0	1	0	8	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_143	84	10	42	59	67	10	163	13	56	28	133	38	51	64	49	106	54	2373	123	68	76	26	60	27	21	0	29	11	39	81	67	21	32	79	200	18	21	27	23	36	7	32	38	8	14	54	33	32	19	32	18	34	25	3	4	13	55	82	52	20	0	19	0	8	19	34	26	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_174	127	36	142	73	44	25	112	28	104	217	110	158	77	78	158	189	33	37	42	61	132	1	143	89	9	115	55	2	0	58	367	162	164	39	81	46	180	2	133	84	28	93	34	12	41	34	6	9	167	79	0	181	0	0	16	54	160	152	18	15	0	64	0	0	30	0	24	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_1956	0	11	9	0	0	31	0	0	0	0	0	0	2	0	0	12	0	2	0	1	0	0	0	0	55	0	0	0	0	0	0	27	2	0	0	0	1	1	6	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_167	69	23	17	112	112	12	15	106	101	117	10	77	7	3	51	4	5	0	46	4	120	255	79	107	37	0	0	13	244	22	122	12	8	7	11	77	66	9	8	2	0	0	94	64	94	96	38	70	20	168	160	157	12	30	0	47	1	63	10	3	0	17	0	51	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
