OTU_ID	Domain	D_Score	Phylum	P_Score	Class	C_Score	Subclass	SC_Score	Order	O_Score	Suborder	SO_Score	Family	F_Score	Genus	G_Score
BOTU_10112	Bacteria	1.0	Proteobacteria	0.91	Gammaproteobacteria	0.79	NA	NA	Pseudomonadales	0.27	NA	NA	Pseudomonadaceae	0.27	Permianibacter	0.21
BOTU_10113	Bacteria	1.0	Chloroflexi	0.77	Ktedonobacteria	0.32	NA	NA	Ktedonobacterales	0.31	NA	NA	Ktedonobacteraceae	0.18	Ktedonobacter	0.18
BOTU_10114	Bacteria	1.0	Bacteroidetes	1.0	Sphingobacteriia	0.77	NA	NA	Sphingobacteriales	0.77	NA	NA	Chitinophagaceae	0.69	Crenotalea	0.13
BOTU_10115	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Actinobacteridae	1.0	Actinomycetales	1.0	Jiangellineae	0.93	Jiangellaceae	0.93	Jiangella	0.88
BOTU_10116	Bacteria	1.0	Chloroflexi	0.28	Ardenticatenia	0.24	NA	NA	Ardenticatenales	0.24	NA	NA	Ardenticatenaceae	0.24	Ardenticatena	0.24
BOTU_10117	Bacteria	0.99	Parcubacteria	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Parcubacteria_genera_incertae_sedis	0.82
BOTU_10118	Bacteria	0.98	Chloroflexi	0.26	Thermomicrobia	0.18	Sphaerobacteridae	0.17	Sphaerobacterales	0.17	Sphaerobacterineae	0.17	Sphaerobacteraceae	0.17	Sphaerobacter	0.13
BOTU_10119	Bacteria	0.99	Chloroflexi	0.56	Anaerolineae	0.33	NA	NA	Anaerolineales	0.33	NA	NA	Anaerolineaceae	0.33	Longilinea	0.13
BOTU_10120	Bacteria	1.0	Proteobacteria	0.63	Deltaproteobacteria	0.43	NA	NA	Bdellovibrionales	0.3	NA	NA	Bdellovibrionaceae	0.3	Bdellovibrio	0.3
BOTU_10121	Bacteria	1.0	Proteobacteria	1.0	Deltaproteobacteria	1.0	NA	NA	Bdellovibrionales	1.0	NA	NA	Bdellovibrionaceae	1.0	Bdellovibrio	1.0
