"","collection_date","site_id","site","fert_status","plot_rep","pseudo_no","x_cord","y_cord"
"MMPRNT1691","7/23/2018","RHN","Rhinelander","UNFERT","2","2","16.2","4.82"
"MMPRNT1692","7/23/2018","RHN","Rhinelander","UNFERT","2","3","13.35","4.7"
"MMPRNT1693","7/23/2018","RHN","Rhinelander","FERT","3","1","8.01","0.66"
"MMPRNT1694","7/23/2018","RHN","Rhinelander","FERT","3","2","4.8","3.41"
"MMPRNT1695","7/23/2018","RHN","Rhinelander","FERT","3","3","2.14","0.72"
"MMPRNT1696","7/23/2018","RHN","Rhinelander","UNFERT","3","1","15.72","5.17"
"MMPRNT1697","7/23/2018","RHN","Rhinelander","UNFERT","3","2","14.52","1.75"
"MMPRNT1698","7/23/2018","RHN","Rhinelander","UNFERT","3","3","13.55","1.63"
"MMPRNT1699","7/23/2018","RHN","Rhinelander","FERT","4","1","2.24","0.61"
"MMPRNT1700","7/23/2018","RHN","Rhinelander","FERT","4","2","9.75","4.51"
"MMPRNT1701","7/23/2018","RHN","Rhinelander","FERT","4","3","5.09","1.18"
"MMPRNT1702","7/23/2018","RHN","Rhinelander","UNFERT","4","1","14.04","3.05"
"MMPRNT1703","7/23/2018","RHN","Rhinelander","UNFERT","4","2","15.82","3.84"
"MMPRNT1704","7/23/2018","RHN","Rhinelander","UNFERT","4","3","12.98","1.4"
"MMPRNT1753","7/24/2018","ESC","Escanaba","FERT","1","1","0.75","2.48"
"MMPRNT1754","7/24/2018","ESC","Escanaba","FERT","1","2","3.51","3.75"
"MMPRNT1755","7/24/2018","ESC","Escanaba","FERT","1","3","2.49","2.05"
"MMPRNT1757","7/24/2018","ESC","Escanaba","UNFERT","1","2","2.89","0.67"
"MMPRNT1758","7/24/2018","ESC","Escanaba","UNFERT","1","3","9.14","4.93"
"MMPRNT1759","7/24/2018","ESC","Escanaba","FERT","2","1","4.37","3.23"
"MMPRNT1760","7/24/2018","ESC","Escanaba","FERT","2","2","8.43","4.32"
"MMPRNT1761","7/24/2018","ESC","Escanaba","FERT","2","3","5.61","1.24"
"MMPRNT1762","7/24/2018","ESC","Escanaba","UNFERT","2","1","4.33","3.02"
"MMPRNT1763","7/24/2018","ESC","Escanaba","UNFERT","2","2","5.72","1.93"
"MMPRNT1764","7/24/2018","ESC","Escanaba","UNFERT","2","3","4.62","4.33"
"MMPRNT1765","7/24/2018","ESC","Escanaba","FERT","3","1","1.02","5.08"
"MMPRNT1766","7/24/2018","ESC","Escanaba","FERT","3","2","8.63","1.32"
"MMPRNT1767","7/24/2018","ESC","Escanaba","FERT","3","3","7.6","0.86"
"MMPRNT1768","7/24/2018","ESC","Escanaba","UNFERT","3","1","5.59","4.49"
"MMPRNT1769","7/24/2018","ESC","Escanaba","UNFERT","3","2","6","5.44"
"MMPRNT1770","7/24/2018","ESC","Escanaba","UNFERT","3","3","7","1.91"
"MMPRNT1771","7/24/2018","ESC","Escanaba","FERT","4","1","8.04","4.3"
"MMPRNT1772","7/24/2018","ESC","Escanaba","FERT","4","2","10","3.46"
"MMPRNT1773","7/24/2018","ESC","Escanaba","FERT","4","3","15","1.87"
"MMPRNT1774","7/24/2018","ESC","Escanaba","UNFERT","4","1","3.4","2.22"
"MMPRNT1775","7/24/2018","ESC","Escanaba","UNFERT","4","2","3.72","4.41"
"MMPRNT1776","7/24/2018","ESC","Escanaba","UNFERT","4","3","5.75","3.63"
