>Zotu6549	Query_1
>Zotu926	Query_2
>Zotu10349	Query_3
>Zotu9990	Query_4
>Zotu767	Query_5
>Zotu9609	Query_6
>Zotu7980	Query_7
>Zotu9597	Query_8
>Zotu9911	Query_9
>Zotu5533	Query_10
>Zotu970	Query_11
>Zotu10721	Query_12
>Zotu7611	Query_13
>Zotu8205	Query_14
>Zotu11890	Query_15
>Zotu7409	Query_16
>Zotu9576	Query_17
>Zotu7109	Query_18
>Zotu8565	Query_19
>Zotu6392	Query_20
>Zotu699	Query_21
>Zotu5979	Query_22
>Zotu8197	Query_23
>Zotu9674	Query_24
>Zotu8518	Query_25
>Zotu7339	Query_26
>Zotu98	Query_27
>Zotu9529	Query_28
>Zotu9464	Query_29
>Zotu9195	Query_30
>Zotu3429	Query_31
>Zotu9657	Query_32
>Zotu9100	Query_33
>Zotu772	Query_34
>Zotu7628	Query_35
>Zotu9967	Query_36
>Zotu6409	Query_37
>Zotu6314	Query_38
>Zotu9723	Query_39
>Zotu9837	Query_40
>Zotu9300	Query_41
>Zotu8906	Query_42
>Zotu7205	Query_43
>Zotu9653	Query_44
>Zotu9824	Query_45
>Zotu8195	Query_46
>Zotu9106	Query_47
>Zotu8020	Query_48
>Zotu9886	Query_49
>Zotu9896	Query_50
>Zotu8608	Query_51
>Zotu873	Query_52
>Zotu9062	Query_53
>Zotu9539	Query_54
>Zotu8049	Query_55
>Zotu7351	Query_56
>Zotu9019	Query_57
>Zotu9486	Query_58
>Zotu8651	Query_59
>Zotu5186	Query_60
>Zotu7124	Query_61
>Zotu855	Query_62
>Zotu9613	Query_63
>Zotu983	Query_64
>Zotu939	Query_65
>Zotu9270	Query_66
>Zotu2501	Query_67
>Zotu8256	Query_68
>Zotu9322	Query_69
>Zotu90	Query_70
>Zotu8538	Query_71
>Zotu11467	Query_72
>Zotu9866	Query_73
>Zotu9357	Query_74
>Zotu9408	Query_75
>Zotu621	Query_76
>Zotu7748	Query_77
>Zotu9352	Query_78
>Zotu7693	Query_79
>Zotu9642	Query_80
>Zotu8864	Query_81
>Zotu8216	Query_82
>Zotu9246	Query_83
>Zotu7494	Query_84
>Zotu8351	Query_85
>Zotu7947	Query_86
>Zotu897	Query_87
>Zotu8965	Query_88
>Zotu5423	Query_89
>Zotu5928	Query_90
>Zotu6503	Query_91
>Zotu11458	Query_92
>Zotu5821	Query_93
>Zotu8846	Query_94
>Zotu7597	Query_95
>Zotu7997	Query_96
>Zotu9607	Query_97
>Zotu9933	Query_98
>Zotu3813	Query_99
>Zotu9058	Query_100
>Zotu9556	Query_101
>Zotu752	Query_102
>Zotu8192	Query_103
>Zotu3268	Query_104
>Zotu10743	Query_105
>Zotu9258	Query_106
>Zotu9979	Query_107
>Zotu7003	Query_108
>Zotu9987	Query_109
>Zotu8450	Query_110
>Zotu9563	Query_111
>Zotu95	Query_112
>Zotu9672	Query_113
>Zotu63	Query_114
>Zotu10236	Query_115
>Zotu913	Query_116
>Zotu9356	Query_117
>Zotu945	Query_118
>Zotu9132	Query_119
>Zotu9382	Query_120
>Zotu10794	Query_121
>Zotu8271	Query_122
>Zotu7923	Query_123
>Zotu9282	Query_124
>Zotu7892	Query_125
>Zotu5313	Query_126
>Zotu5988	Query_127
>Zotu8265	Query_128
>Zotu4486	Query_129
>Zotu9798	Query_130
>Zotu7625	Query_131
>Zotu11858	Query_132
>Zotu9262	Query_133
>Zotu5880	Query_134
>Zotu5287	Query_135
>Zotu9266	Query_136
>Zotu5593	Query_137
>Zotu7095	Query_138
>Zotu9662	Query_139
>Zotu5785	Query_140
>Zotu10263	Query_141
>Zotu6810	Query_142
>Zotu5709	Query_143
>Zotu6276	Query_144
>Zotu9409	Query_145
>Zotu7290	Query_146
>Zotu9208	Query_147
>Zotu7771	Query_148
>Zotu6781	Query_149
>Zotu9920	Query_150
>Zotu8129	Query_151
>Zotu8523	Query_152
>Zotu7636	Query_153
>Zotu10049	Query_154
>Zotu9851	Query_155
>Zotu11493	Query_156
>Zotu9297	Query_157
>Zotu8526	Query_158
>Zotu9818	Query_159
>Zotu6429	Query_160
>Zotu10075	Query_161
>Zotu9295	Query_162
>Zotu10971	Query_163
>Zotu8728	Query_164
>Zotu11164	Query_165
>Zotu10620	Query_166
>Zotu10503	Query_167
>Zotu10980	Query_168
>Zotu11324	Query_169
>Zotu11166	Query_170
>Zotu8085	Query_171
>Zotu11542	Query_172
>Zotu9611	Query_173
>Zotu6098	Query_174
