>Zotu9886	Query_1
>Zotu8129	Query_2
>Zotu6549	Query_3
>Zotu926	Query_4
>Zotu9653	Query_5
>Zotu9990	Query_6
>Zotu8256	Query_7
>Zotu873	Query_8
>Zotu5979	Query_9
>Zotu7351	Query_10
>Zotu8197	Query_11
>Zotu7124	Query_12
>Zotu11890	Query_13
>Zotu939	Query_14
>Zotu9576	Query_15
>Zotu7109	Query_16
>Zotu6392	Query_17
>Zotu8565	Query_18
>Zotu706	Query_19
>Zotu9358	Query_20
>Zotu6300	Query_21
>Zotu699	Query_22
>Zotu9106	Query_23
>Zotu9357	Query_24
>Zotu8518	Query_25
>Zotu7693	Query_26
>Zotu7339	Query_27
>Zotu98	Query_28
>Zotu9866	Query_29
>Zotu9657	Query_30
>Zotu7771	Query_31
>Zotu8351	Query_32
>Zotu9100	Query_33
>Zotu6314	Query_34
>Zotu9723	Query_35
>Zotu9356	Query_36
>Zotu9300	Query_37
>Zotu9486	Query_38
>Zotu9824	Query_39
>Zotu8195	Query_40
>Zotu8020	Query_41
>Zotu8192	Query_42
>Zotu8608	Query_43
>Zotu8049	Query_44
>Zotu9979	Query_45
>Zotu7892	Query_46
>Zotu8538	Query_47
>Zotu5821	Query_48
>Zotu9270	Query_49
>Zotu2501	Query_50
>Zotu10794	Query_51
>Zotu9322	Query_52
>Zotu8864	Query_53
>Zotu8526	Query_54
>Zotu897	Query_55
>Zotu7494	Query_56
>Zotu8216	Query_57
>Zotu9384	Query_58
>Zotu7625	Query_59
>Zotu6503	Query_60
>Zotu5928	Query_61
>Zotu9607	Query_62
>Zotu8846	Query_63
>Zotu9933	Query_64
>Zotu10743	Query_65
>Zotu9058	Query_66
>Zotu7003	Query_67
>Zotu9237	Query_68
>Zotu9987	Query_69
>Zotu95	Query_70
>Zotu9563	Query_71
>Zotu63	Query_72
>Zotu8450	Query_73
>Zotu913	Query_74
>Zotu945	Query_75
>Zotu9132	Query_76
>Zotu8271	Query_77
>Zotu9282	Query_78
>Zotu9262	Query_79
>Zotu8265	Query_80
>Zotu4486	Query_81
>Zotu5313	Query_82
>Zotu9798	Query_83
>Zotu6276	Query_84
>Zotu9266	Query_85
>Zotu5593	Query_86
>Zotu6810	Query_87
>Zotu5785	Query_88
>Zotu10263	Query_89
>Zotu5287	Query_90
>Zotu5709	Query_91
>Zotu5880	Query_92
>Zotu7095	Query_93
>Zotu9208	Query_94
>Zotu10049	Query_95
>Zotu9920	Query_96
>Zotu8523	Query_97
>Zotu7636	Query_98
>Zotu6781	Query_99
>Zotu7290	Query_100
>Zotu6429	Query_101
>Zotu11493	Query_102
>Zotu9297	Query_103
>Zotu10971	Query_104
>Zotu10620	Query_105
>Zotu11542	Query_106
>Zotu9818	Query_107
>Zotu10075	Query_108
>Zotu10503	Query_109
>Zotu11324	Query_110
>Zotu9611	Query_111
>Zotu11164	Query_112
>Zotu6098	Query_113
