#OTU ID	MMPRNT1465	MMPRNT1466	MMPRNT1467	MMPRNT1468	MMPRNT1469	MMPRNT1470	MMPRNT1471	MMPRNT1472	MMPRNT1473	MMPRNT1474	MMPRNT1475	MMPRNT1476	MMPRNT1477	MMPRNT1478	MMPRNT1479	MMPRNT1480	MMPRNT1481	MMPRNT1482	MMPRNT1483	MMPRNT1484	MMPRNT1485	MMPRNT1486	MMPRNT1487	MMPRNT1488	MMPRNT1537	MMPRNT1538	MMPRNT1539	MMPRNT1540	MMPRNT1541	MMPRNT1542	MMPRNT1543	MMPRNT1544	MMPRNT1545	MMPRNT1546	MMPRNT1547	MMPRNT1548	MMPRNT1549	MMPRNT1550	MMPRNT1551	MMPRNT1552	MMPRNT1553	MMPRNT1554	MMPRNT1555	MMPRNT1556	MMPRNT1557	MMPRNT1558	MMPRNT1559	MMPRNT1616	MMPRNT1617	MMPRNT1618	MMPRNT1619	MMPRNT1620	MMPRNT1621	MMPRNT1622	MMPRNT1623	MMPRNT1624	MMPRNT1625	MMPRNT1626	MMPRNT1627	MMPRNT1628	MMPRNT1629	MMPRNT1630	MMPRNT1631	MMPRNT1632	MMPRNT1681	MMPRNT1682	MMPRNT1683	MMPRNT1684	MMPRNT1685	MMPRNT1686	MMPRNT1687	MMPRNT1688	MMPRNT1689	MMPRNT1690	MMPRNT1691	MMPRNT1692	MMPRNT1693	MMPRNT1694	MMPRNT1695	MMPRNT1696	MMPRNT1697	MMPRNT1698	MMPRNT1699	MMPRNT1700	MMPRNT1701	MMPRNT1702	MMPRNT1703	MMPRNT1704	MMPRNT1753	MMPRNT1754	MMPRNT1755	MMPRNT1756	MMPRNT1757	MMPRNT1758	MMPRNT1759	MMPRNT1760	MMPRNT1761	MMPRNT1762	MMPRNT1763	MMPRNT1764	MMPRNT1765	MMPRNT1766	MMPRNT1767	MMPRNT1768	MMPRNT1769	MMPRNT1770	MMPRNT1771	MMPRNT1772	MMPRNT1773	MMPRNT1774	MMPRNT1775	MMPRNT1776	MMPRNTCtrl7BB5
Zotu8020	466	544	166	600	1822	790	769	711	1012	1075	593	463	47	22	0	0	131	0	79	1683	1129	1452	220	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1678	432	116	259	0	57	0	0	0	102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu7339	571	0	2394	3	0	0	148	1	0	0	0	721	250	261	360	27	0	875	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	35	36	0	1707	0	0	0	3	320	0	0	0	0	0	0	272	337	4851	1	0	0	0
Zotu9300	588	0	0	332	11	0	24	51	0	0	0	0	0	0	550	34	0	0	0	2722	88	147	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11890	1711	464	1088	280	375	230	874	76	479	209	265	0	1347	85	1237	467	196	190	0	738	0	0	0	119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	1	2	0	0	0	0	0	0	0	14	1	0	1	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	5	1	0	0	0	2	0	0	8
Zotu926	982	159	1971	277	1	1016	0	0	0	0	161	4	0	0	1	0	0	0	0	0	0	0	0	0	1318	49	1692	5406	1193	1615	50	2908	7517	1208	854	1101	897	205	1533	3023	4158	2900	6507	2467	27	88	430	3761	1232	747	4838	13	1361	1	10	3474	22	6	0	0	0	1	0	0	1263	4458	549	3274	4139	3526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	154	2278	3560	265	1950	1913	637	1995	2886	913	187	208	2093	1106	4481	1697	573	92	2379	2006	293	277	3392	3241	0
Zotu8518	184	2995	598	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	23	0	1724	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	654	577	0	468	0	0	1522	0	59	1	36	0	0	0	0	0	753	464	172	0	705	2173	0
Zotu7124	49	215	84	30	1	2	1	3	2	1	2	2	335	18	7	10	4	7	0	7	8	13	5	3	1	0	0	0	67	15	0	5	2	0	0	96	0	3	1	4	0	1	0	0	101	0	1	12	23	10	0	333	54	1	1	3	3	0	2	84	1	1	2	12	2	0	1	1	0	3	1	6	1	10	5	10	11	13	7	14	99	5	3	8	5	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	9	633	1	0	0	1	0
Zotu7095	146	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9990	60	1055	223	182	107	26	150	437	547	735	254	2763	2	622	2173	672	0	937	0	51	675	401	137	839	2025	0	0	0	5782	0	0	0	8483	3588	0	61	0	13	114	125	90	0	0	0	3	27	1	959	3702	5535	126	2256	590	69	620	310	0	209	4132	3338	0	0	0	0	14	7	2	6	2	1	21	27	0	38	21	25	282	45	101	21	50	364	5	1	25	102	15	35	0	0	5	81	0	0	0	0	59	0	0	209	0	0	0	0	0	0	41	0	44	0	0	1	112
Zotu95	45	4	0	213	6	111	1	37	260	0	0	175	297	172	0	0	691	1	93	0	339	2821	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
