>Zotu6549	Query_1
>Zotu926	Query_2
>Zotu10349	Query_3
>Zotu767	Query_4
>Zotu9597	Query_5
>Zotu5533	Query_6
>Zotu9609	Query_7
>Zotu9990	Query_8
>Zotu10721	Query_9
>Zotu966	Query_10
>Zotu9911	Query_11
>Zotu8205	Query_12
>Zotu7611	Query_13
>Zotu9576	Query_14
>Zotu7109	Query_15
>Zotu8668	Query_16
>Zotu7409	Query_17
>Zotu8565	Query_18
>Zotu970	Query_19
>Zotu7980	Query_20
>Zotu7454	Query_21
>Zotu8197	Query_22
>Zotu699	Query_23
>Zotu11663	Query_24
>Zotu11890	Query_25
>Zotu909	Query_26
>Zotu8518	Query_27
>Zotu7339	Query_28
>Zotu9351	Query_29
>Zotu9529	Query_30
>Zotu9464	Query_31
>Zotu772	Query_32
>Zotu9195	Query_33
>Zotu6530	Query_34
>Zotu98	Query_35
>Zotu6392	Query_36
>Zotu9100	Query_37
>Zotu9931	Query_38
>Zotu9674	Query_39
>Zotu7628	Query_40
>Zotu6409	Query_41
>Zotu6314	Query_42
>Zotu6362	Query_43
>Zotu9019	Query_44
>Zotu9300	Query_45
>Zotu8906	Query_46
>Zotu7205	Query_47
>Zotu9653	Query_48
>Zotu9106	Query_49
>Zotu9822	Query_50
>Zotu9837	Query_51
>Zotu8020	Query_52
>Zotu8608	Query_53
>Zotu5937	Query_54
>Zotu8049	Query_55
>Zotu9486	Query_56
>Zotu873	Query_57
>Zotu9431	Query_58
>Zotu8195	Query_59
>Zotu5186	Query_60
>Zotu7022	Query_61
>Zotu9635	Query_62
>Zotu8878	Query_63
>Zotu7124	Query_64
>Zotu10973	Query_65
>Zotu855	Query_66
>Zotu9453	Query_67
>Zotu9613	Query_68
>Zotu9879	Query_69
>Zotu6352	Query_70
>Zotu939	Query_71
>Zotu3121	Query_72
>Zotu7021	Query_73
>Zotu9270	Query_74
>Zotu9886	Query_75
>Zotu9657	Query_76
>Zotu5979	Query_77
>Zotu9956	Query_78
>Zotu7351	Query_79
>Zotu8256	Query_80
>Zotu2501	Query_81
>Zotu9723	Query_82
>Zotu9322	Query_83
>Zotu8602	Query_84
>Zotu90	Query_85
>Zotu8538	Query_86
>Zotu971	Query_87
>Zotu11467	Query_88
>Zotu9866	Query_89
>Zotu9408	Query_90
>Zotu9352	Query_91
>Zotu621	Query_92
>Zotu7748	Query_93
>Zotu9896	Query_94
>Zotu9246	Query_95
>Zotu3813	Query_96
>Zotu7494	Query_97
>Zotu9642	Query_98
>Zotu8864	Query_99
>Zotu7693	Query_100
>Zotu8351	Query_101
>Zotu5423	Query_102
>Zotu7401	Query_103
>Zotu9824	Query_104
>Zotu897	Query_105
>Zotu8965	Query_106
>Zotu6113	Query_107
>Zotu5928	Query_108
>Zotu3907	Query_109
>Zotu6503	Query_110
>Zotu9357	Query_111
>Zotu5821	Query_112
>Zotu752	Query_113
>Zotu8846	Query_114
>Zotu7597	Query_115
>Zotu7997	Query_116
>Zotu9607	Query_117
>Zotu9933	Query_118
>Zotu8957	Query_119
>Zotu8192	Query_120
>Zotu10743	Query_121
>Zotu9058	Query_122
>Zotu9556	Query_123
>Zotu9258	Query_124
>Zotu9596	Query_125
>Zotu7003	Query_126
>Zotu9864	Query_127
>Zotu9979	Query_128
>Zotu9987	Query_129
>Zotu95	Query_130
>Zotu9563	Query_131
>Zotu63	Query_132
>Zotu8450	Query_133
>Zotu10236	Query_134
>Zotu9356	Query_135
>Zotu913	Query_136
>Zotu8392	Query_137
>Zotu9672	Query_138
>Zotu9900	Query_139
>Zotu9132	Query_140
>Zotu5771	Query_141
>Zotu10794	Query_142
>Zotu945	Query_143
>Zotu8271	Query_144
>Zotu8216	Query_145
>Zotu7923	Query_146
>Zotu9282	Query_147
>Zotu5313	Query_148
>Zotu8265	Query_149
>Zotu5988	Query_150
>Zotu9798	Query_151
>Zotu3268	Query_152
>Zotu7625	Query_153
>Zotu8089	Query_154
>Zotu9262	Query_155
>Zotu5785	Query_156
>Zotu9266	Query_157
>Zotu8647	Query_158
>Zotu7296	Query_159
>Zotu10263	Query_160
>Zotu9564	Query_161
>Zotu6276	Query_162
>Zotu7892	Query_163
>Zotu6810	Query_164
>Zotu5287	Query_165
>Zotu5709	Query_166
>Zotu5880	Query_167
>Zotu5593	Query_168
>Zotu5384	Query_169
>Zotu4487	Query_170
>Zotu9662	Query_171
>Zotu7095	Query_172
>Zotu9920	Query_173
>Zotu7290	Query_174
>Zotu9409	Query_175
>Zotu7636	Query_176
>Zotu7771	Query_177
>Zotu9208	Query_178
>Zotu8523	Query_179
>Zotu6781	Query_180
>Zotu6300	Query_181
>Zotu8129	Query_182
>Zotu10049	Query_183
>Zotu11164	Query_184
>Zotu11493	Query_185
>Zotu11706	Query_186
>Zotu10971	Query_187
>Zotu8526	Query_188
>Zotu11542	Query_189
>Zotu9818	Query_190
>Zotu8085	Query_191
>Zotu10620	Query_192
>Zotu4486	Query_193
>Zotu10075	Query_194
>Zotu6098	Query_195
>Zotu11166	Query_196
>Zotu11324	Query_197
>Zotu9297	Query_198
>Zotu10503	Query_199
>Zotu8728	Query_200
>Zotu9611	Query_201
>Zotu6429	Query_202
