>Zotu6549	Query_1
>Zotu9886	Query_2
>Zotu8129	Query_3
>Zotu926	Query_4
>Zotu9653	Query_5
>Zotu8737	Query_6
>Zotu8256	Query_7
>Zotu9990	Query_8
>Zotu5979	Query_9
>Zotu9556	Query_10
>Zotu9597	Query_11
>Zotu7124	Query_12
>Zotu11890	Query_13
>Zotu7351	Query_14
>Zotu9576	Query_15
>Zotu7109	Query_16
>Zotu6392	Query_17
>Zotu9411	Query_18
>Zotu6300	Query_19
>Zotu8565	Query_20
>Zotu9529	Query_21
>Zotu699	Query_22
>Zotu9357	Query_23
>Zotu2348	Query_24
>Zotu8518	Query_25
>Zotu7693	Query_26
>Zotu7771	Query_27
>Zotu7339	Query_28
>Zotu98	Query_29
>Zotu873	Query_30
>Zotu7982	Query_31
>Zotu8965	Query_32
>Zotu9657	Query_33
>Zotu9100	Query_34
>Zotu7628	Query_35
>Zotu6409	Query_36
>Zotu6352	Query_37
>Zotu6314	Query_38
>Zotu9723	Query_39
>Zotu9356	Query_40
>Zotu9300	Query_41
>Zotu9106	Query_42
>Zotu9486	Query_43
>Zotu9896	Query_44
>Zotu9824	Query_45
>Zotu8195	Query_46
>Zotu961	Query_47
>Zotu8020	Query_48
>Zotu939	Query_49
>Zotu8608	Query_50
>Zotu8049	Query_51
>Zotu7892	Query_52
>Zotu9979	Query_53
>Zotu5821	Query_54
>Zotu8538	Query_55
>Zotu9270	Query_56
>Zotu8192	Query_57
>Zotu2501	Query_58
>Zotu9322	Query_59
>Zotu8864	Query_60
>Zotu9866	Query_61
>Zotu9749	Query_62
>Zotu621	Query_63
>Zotu7494	Query_64
>Zotu8216	Query_65
>Zotu8351	Query_66
>Zotu9246	Query_67
>Zotu897	Query_68
>Zotu6503	Query_69
>Zotu5928	Query_70
>Zotu8846	Query_71
>Zotu9607	Query_72
>Zotu9933	Query_73
>Zotu9058	Query_74
>Zotu10743	Query_75
>Zotu7003	Query_76
>Zotu9563	Query_77
>Zotu9987	Query_78
>Zotu95	Query_79
>Zotu63	Query_80
>Zotu8450	Query_81
>Zotu913	Query_82
>Zotu945	Query_83
>Zotu9132	Query_84
>Zotu8271	Query_85
>Zotu9282	Query_86
>Zotu5086	Query_87
>Zotu4486	Query_88
>Zotu5313	Query_89
>Zotu9798	Query_90
>Zotu8265	Query_91
>Zotu9262	Query_92
>Zotu7625	Query_93
>Zotu10263	Query_94
>Zotu5785	Query_95
>Zotu5880	Query_96
>Zotu5593	Query_97
>Zotu6276	Query_98
>Zotu9266	Query_99
>Zotu7095	Query_100
>Zotu5709	Query_101
>Zotu5287	Query_102
>Zotu6810	Query_103
>Zotu7636	Query_104
>Zotu9920	Query_105
>Zotu9208	Query_106
>Zotu7290	Query_107
>Zotu6781	Query_108
>Zotu8523	Query_109
>Zotu10049	Query_110
>Zotu6429	Query_111
>Zotu9409	Query_112
>Zotu11493	Query_113
>Zotu8526	Query_114
>Zotu10971	Query_115
>Zotu10075	Query_116
>Zotu9818	Query_117
>Zotu10503	Query_118
>Zotu6098	Query_119
>Zotu9611	Query_120
>Zotu10620	Query_121
>Zotu11542	Query_122
>Zotu9297	Query_123
>Zotu11324	Query_124
>Zotu11164	Query_125
