#OTU ID	MMPRNT1465	MMPRNT1466	MMPRNT1467	MMPRNT1468	MMPRNT1469	MMPRNT1470	MMPRNT1471	MMPRNT1472	MMPRNT1473	MMPRNT1474	MMPRNT1475	MMPRNT1476	MMPRNT1477	MMPRNT1478	MMPRNT1479	MMPRNT1480	MMPRNT1481	MMPRNT1482	MMPRNT1483	MMPRNT1484	MMPRNT1485	MMPRNT1486	MMPRNT1487	MMPRNT1488	MMPRNT1537	MMPRNT1538	MMPRNT1539	MMPRNT1540	MMPRNT1541	MMPRNT1542	MMPRNT1543	MMPRNT1544	MMPRNT1545	MMPRNT1546	MMPRNT1547	MMPRNT1548	MMPRNT1549	MMPRNT1550	MMPRNT1551	MMPRNT1552	MMPRNT1553	MMPRNT1554	MMPRNT1555	MMPRNT1556	MMPRNT1557	MMPRNT1558	MMPRNT1559	MMPRNT1616	MMPRNT1617	MMPRNT1618	MMPRNT1619	MMPRNT1620	MMPRNT1621	MMPRNT1622	MMPRNT1623	MMPRNT1624	MMPRNT1625	MMPRNT1626	MMPRNT1627	MMPRNT1628	MMPRNT1629	MMPRNT1630	MMPRNT1631	MMPRNT1632	MMPRNT1681	MMPRNT1682	MMPRNT1683	MMPRNT1684	MMPRNT1685	MMPRNT1686	MMPRNT1687	MMPRNT1688	MMPRNT1689	MMPRNT1690	MMPRNT1691	MMPRNT1692	MMPRNT1693	MMPRNT1694	MMPRNT1695	MMPRNT1696	MMPRNT1697	MMPRNT1698	MMPRNT1699	MMPRNT1700	MMPRNT1701	MMPRNT1702	MMPRNT1703	MMPRNT1704	MMPRNT1753	MMPRNT1754	MMPRNT1755	MMPRNT1756	MMPRNT1757	MMPRNT1758	MMPRNT1759	MMPRNT1760	MMPRNT1761	MMPRNT1762	MMPRNT1763	MMPRNT1764	MMPRNT1765	MMPRNT1766	MMPRNT1767	MMPRNT1768	MMPRNT1769	MMPRNT1770	MMPRNT1771	MMPRNT1772	MMPRNT1773	MMPRNT1774	MMPRNT1775	MMPRNT1776	MMPRNTCtrl7BB5
Zotu7339	571	0	2394	3	0	0	148	1	0	0	0	721	250	261	360	27	0	875	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	35	36	0	1707	0	0	0	3	320	0	0	0	0	0	0	272	337	4851	1	0	0	0
Zotu8020	466	544	166	600	1822	790	770	715	1012	1075	593	463	47	22	2	0	132	0	82	1683	1130	1454	223	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1679	434	116	259	0	57	0	0	0	102	0	0	0	0	0	0	0	1	8	2	7	9	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu9300	588	0	0	333	11	0	24	51	0	0	0	0	0	0	550	34	0	0	0	2722	88	147	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11890	1711	464	1088	280	375	230	874	76	479	209	265	0	1347	85	1237	467	196	190	0	738	0	0	0	119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	1	2	0	0	0	0	0	0	0	14	1	0	1	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	5	1	0	0	0	2	0	0	8
Zotu926	982	159	1971	277	1	1016	0	0	0	0	161	4	0	0	1	0	0	0	0	0	0	0	0	0	1318	49	1691	5406	1193	1615	50	2908	7517	1208	854	1101	897	205	1533	3023	4157	2900	6506	2466	27	88	430	3761	1232	747	4838	13	1361	1	10	3474	22	6	0	0	0	1	0	0	1263	4458	549	3275	4139	3526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	154	2278	3560	265	1950	1913	637	1995	2885	913	187	208	2093	1106	4481	1697	573	92	2379	2006	293	277	3392	3242	0
Zotu7124	49	215	84	30	1	2	1	3	2	1	2	2	335	18	7	10	4	8	0	7	8	13	5	3	1	0	0	0	67	15	0	5	2	0	0	96	0	3	1	4	0	1	0	0	101	0	1	12	23	10	0	333	54	1	1	3	3	0	2	84	1	1	2	12	2	0	1	1	0	3	1	6	1	10	5	10	11	13	7	14	99	5	3	8	5	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	9	633	1	0	0	1	0
Zotu7095	146	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9990	59	1058	223	182	107	26	149	436	547	735	255	2763	2	622	2174	672	0	936	0	50	675	401	135	839	2023	0	0	0	5782	0	0	0	8483	3588	0	61	0	13	114	125	90	0	0	0	0	27	0	959	3701	5533	126	2255	589	63	617	306	0	207	4129	3333	0	0	0	0	15	7	5	6	2	0	21	27	1	37	20	24	280	45	100	20	50	363	4	1	24	102	14	37	0	0	6	81	0	0	0	0	59	0	0	209	0	0	0	0	0	0	41	0	43	0	0	1	111
Zotu95	45	4	0	213	6	111	1	37	260	0	0	175	297	172	0	0	691	1	93	0	339	2821	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8608	193	165	221	190	67	0	0	30	0	1046	0	1121	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	225	0	8	8	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	157	530	2	113	30	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
