SampleID,collectionDate,leadContact,siteID,plotType,fertStatus,plotRep,pseudo_no,xCord,yCord,Description
MMPRNT1547,7/10/2018,Vander Stel,LC,G5,UNFERT,2,2,6.88,1.39,sampleID:  MMPRNT-1547    info: 071018_LC_G5_Rep2_UNFERT_pseudo2
MMPRNT1548,7/10/2018,Vander Stel,LC,G5,UNFERT,2,3,14.25,9.1,sampleID:  MMPRNT-1548    info: 071018_LC_G5_Rep2_UNFERT_pseudo3
MMPRNT1549,7/10/2018,Vander Stel,LC,G5,FERT,3,1,16.81,2.58,sampleID:  MMPRNT-1549    info: 071018_LC_G5_Rep3_FERT_pseudo1
MMPRNT1550,7/10/2018,Vander Stel,LC,G5,FERT,3,2,11.89,8.98,sampleID:  MMPRNT-1550    info: 071018_LC_G5_Rep3_FERT_pseudo2
MMPRNT1551,7/10/2018,Vander Stel,LC,G5,FERT,3,3,11.01,5.52,sampleID:  MMPRNT-1551    info: 071018_LC_G5_Rep3_FERT_pseudo3
MMPRNT1552,7/10/2018,Vander Stel,LC,G5,UNFERT,3,1,4.77,8.79,sampleID:  MMPRNT-1552    info: 071018_LC_G5_Rep3_UNFERT_pseudo1
MMPRNT1553,7/10/2018,Vander Stel,LC,G5,UNFERT,3,2,18.6,4.91,sampleID:  MMPRNT-1553    info: 071018_LC_G5_Rep3_UNFERT_pseudo2
MMPRNT1554,7/10/2018,Vander Stel,LC,G5,UNFERT,3,3,3.71,7.39,sampleID:  MMPRNT-1554    info: 071018_LC_G5_Rep3_UNFERT_pseudo3
MMPRNT1555,7/10/2018,Vander Stel,LC,G5,FERT,4,1,3.02,4.1,sampleID:  MMPRNT-1555    info: 071018_LC_G5_Rep4_FERT_pseudo1
MMPRNT1556,7/10/2018,Vander Stel,LC,G5,FERT,4,2,3.92,1.82,sampleID:  MMPRNT-1556    info: 071018_LC_G5_Rep4_FERT_pseudo2
MMPRNT1557,7/10/2018,Vander Stel,LC,G5,FERT,4,3,7.51,7.62,sampleID:  MMPRNT-1557    info: 071018_LC_G5_Rep4_FERT_pseudo3
MMPRNT1558,7/10/2018,Vander Stel,LC,G5,UNFERT,4,1,2.06,8.94,sampleID:  MMPRNT-1558    info: 071018_LC_G5_Rep4_UNFERT_pseudo1
