#OTU ID	MMPRNT1465	MMPRNT1466	MMPRNT1467	MMPRNT1468	MMPRNT1469	MMPRNT1470	MMPRNT1471	MMPRNT1472	MMPRNT1473	MMPRNT1474	MMPRNT1475	MMPRNT1476	MMPRNT1477	MMPRNT1478	MMPRNT1479	MMPRNT1480	MMPRNT1481	MMPRNT1482	MMPRNT1483	MMPRNT1484	MMPRNT1485	MMPRNT1486	MMPRNT1487	MMPRNT1488	MMPRNT1537	MMPRNT1538	MMPRNT1539	MMPRNT1540	MMPRNT1541	MMPRNT1542	MMPRNT1543	MMPRNT1544	MMPRNT1545	MMPRNT1546	MMPRNT1547	MMPRNT1548	MMPRNT1549	MMPRNT1550	MMPRNT1551	MMPRNT1552	MMPRNT1553	MMPRNT1554	MMPRNT1555	MMPRNT1556	MMPRNT1557	MMPRNT1558	MMPRNT1559	MMPRNT1616	MMPRNT1617	MMPRNT1618	MMPRNT1619	MMPRNT1620	MMPRNT1621	MMPRNT1622	MMPRNT1623	MMPRNT1624	MMPRNT1625	MMPRNT1626	MMPRNT1627	MMPRNT1628	MMPRNT1629	MMPRNT1630	MMPRNT1631	MMPRNT1632	MMPRNT1681	MMPRNT1682	MMPRNT1683	MMPRNT1684	MMPRNT1685	MMPRNT1686	MMPRNT1687	MMPRNT1688	MMPRNT1689	MMPRNT1690	MMPRNT1691	MMPRNT1692	MMPRNT1693	MMPRNT1694	MMPRNT1695	MMPRNT1696	MMPRNT1697	MMPRNT1698	MMPRNT1699	MMPRNT1700	MMPRNT1701	MMPRNT1702	MMPRNT1703	MMPRNT1704	MMPRNT1753	MMPRNT1754	MMPRNT1755	MMPRNT1756	MMPRNT1757	MMPRNT1758	MMPRNT1759	MMPRNT1760	MMPRNT1761	MMPRNT1762	MMPRNT1763	MMPRNT1764	MMPRNT1765	MMPRNT1766	MMPRNT1767	MMPRNT1768	MMPRNT1769	MMPRNT1770	MMPRNT1771	MMPRNT1772	MMPRNT1773	MMPRNT1774	MMPRNT1775	MMPRNT1776	MMPRNTCtrl7BB5
Zotu7339	570	0	2392	3	0	0	148	1	0	0	0	721	250	260	359	27	0	870	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	34	0	0	49	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	35	36	0	1706	0	0	2	3	319	2	2	0	1	0	0	272	337	4849	1	0	0	0
Zotu8020	466	544	166	600	1822	790	769	711	1012	1075	592	463	47	22	0	0	131	0	79	1683	1129	1452	220	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1675	432	116	259	0	57	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu7347	4959	98	1326	475	62	4	0	5	134	0	0	0	125	169	1	230	0	2	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	75	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7989	226	296	180	762	392	93	116	46	286	0	1	126	0	118	1	26	1	95	20	128	443	214	180	734	14	1716	0	0	290	765	2032	135	37	1170	0	447	6	17	46	102	0	17	0	0	57	0	0	1	108	1	0	1	70	0	0	0	0	2	0	0	0	0	0	0	2	5	7	0	1	2	0	0	3	3	3	1	2	0	2	294	3	1	0	0	0	0	0	0	0	0	118	0	0	1	0	220	690	365	0	114	1	0	0	0	0	0	132	0	0	0	0	2	0
Zotu6362	886	0	2589	165	155	486	1	51	0	0	0	0	261	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	203	236	419	168	0	0	0	0
Zotu6635	2389	394	1546	3687	2754	425	0	64	0	0	0	0	115	149	0	1827	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	180	0	0	0	0	0	0	3	0	0	0	13	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9464	938	937	571	237	2110	205	479	128	682	1125	0	673	829	0	1	0	101	0	379	0	0	0	0	127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725	16	0	268	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	937	119	51	406	258	0	146	2122	1016	3	0	33	377	393	583	1	31	726	899	247	190	590	535	0
Zotu9300	571	0	0	230	11	0	24	44	0	0	0	0	0	0	427	1	0	0	0	1788	88	84	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3633	536	1260	147	119	806	245	416	4	114	304	1	1061	535	6	1	112	382	109	146	175	424	140	21	44	16	297	9	0	5	0	138	0	0	0	1	180	0	0	0	25	0	0	6	2	0	93	24	54	18	72	70	0	29	112	27	63	0	0	71	72	10	110	14	581	267	248	67	31	34	164	8	201	7	9	0	0	44	75	56	155	223	43	90	110	432	0	0	217	0	0	175	0	0	0	97	295	0	0	0	0	147	0	178	0	0	0	0	0	0	0	0	0	150
Zotu767	941	3621	1569	916	2711	4674	712	187	605	3330	1337	3102	1146	1274	680	1114	1621	3889	521	5254	3360	3909	327	2317	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1314	0	0	1643	0	0	638	292	556	728	5452	398	29	1	491	46	18	25	228	96	616	0	1	177	547	163	443	135	461	1	40	3	1	0	2	156	196	217	4277	451	2648	1122	4378	2114	128	1367	2713	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1398	0	0	0	0
