#OTU ID	MMPRNT1465	MMPRNT1466	MMPRNT1467	MMPRNT1468	MMPRNT1469	MMPRNT1470	MMPRNT1471	MMPRNT1472	MMPRNT1473	MMPRNT1474	MMPRNT1475	MMPRNT1476	MMPRNT1477	MMPRNT1478	MMPRNT1479	MMPRNT1480	MMPRNT1481	MMPRNT1482	MMPRNT1483	MMPRNT1484	MMPRNT1485	MMPRNT1486	MMPRNT1487	MMPRNT1488	MMPRNT1537	MMPRNT1538	MMPRNT1539	MMPRNT1540	MMPRNT1541	MMPRNT1542	MMPRNT1543	MMPRNT1544	MMPRNT1545	MMPRNT1546	MMPRNT1547	MMPRNT1548	MMPRNT1549	MMPRNT1550	MMPRNT1551	MMPRNT1552	MMPRNT1553	MMPRNT1554	MMPRNT1555	MMPRNT1556	MMPRNT1557	MMPRNT1558	MMPRNT1559	MMPRNT1616	MMPRNT1617	MMPRNT1618	MMPRNT1619	MMPRNT1620	MMPRNT1621	MMPRNT1622	MMPRNT1623	MMPRNT1624	MMPRNT1625	MMPRNT1626	MMPRNT1627	MMPRNT1628	MMPRNT1629	MMPRNT1630	MMPRNT1631	MMPRNT1632	MMPRNT1681	MMPRNT1682	MMPRNT1683	MMPRNT1684	MMPRNT1685	MMPRNT1686	MMPRNT1687	MMPRNT1688	MMPRNT1689	MMPRNT1690	MMPRNT1691	MMPRNT1692	MMPRNT1693	MMPRNT1694	MMPRNT1695	MMPRNT1696	MMPRNT1697	MMPRNT1698	MMPRNT1699	MMPRNT1700	MMPRNT1701	MMPRNT1702	MMPRNT1703	MMPRNT1704	MMPRNT1753	MMPRNT1754	MMPRNT1755	MMPRNT1756	MMPRNT1757	MMPRNT1758	MMPRNT1759	MMPRNT1760	MMPRNT1761	MMPRNT1762	MMPRNT1763	MMPRNT1764	MMPRNT1765	MMPRNT1766	MMPRNT1767	MMPRNT1768	MMPRNT1769	MMPRNT1770	MMPRNT1771	MMPRNT1772	MMPRNT1773	MMPRNT1774	MMPRNT1775	MMPRNT1776	MMPRNTCtrl7BB5
Zotu7339	571	0	2393	3	0	0	148	1	0	0	0	721	250	260	360	27	0	871	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	35	36	0	1707	0	0	0	3	320	0	0	0	0	0	0	272	337	4849	1	0	0	0
Zotu8020	466	544	166	600	1822	790	769	711	1012	1075	592	463	47	22	0	0	131	0	79	1683	1129	1452	220	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1676	432	116	259	0	57	0	0	0	102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu9967	510	1267	132	123	809	192	359	4	101	289	0	1027	519	6	1	104	369	83	132	174	279	131	16	42	15	251	9	0	5	0	62	0	0	0	0	180	0	0	0	24	0	0	5	2	0	93	24	31	17	57	52	0	15	117	20	64	0	0	54	53	11	99	13	446	259	231	68	32	35	160	5	202	3	5	0	0	45	76	57	156	229	48	81	120	450	0	0	224	0	1	168	0	0	0	94	294	0	0	0	0	143	0	177	0	0	0	0	0	0	0	0	0	152
Zotu7611	590	191	611	127	21	6	0	8	135	0	0	0	493	665	0	248	123	141	0	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9464	938	937	571	237	2113	205	479	128	682	1127	0	673	829	0	1	0	101	0	379	0	0	0	0	127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1726	16	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	937	119	51	406	258	0	146	2122	1016	3	0	33	377	393	583	1	31	726	899	247	190	590	535	0
Zotu9300	588	0	0	332	11	0	24	51	0	0	0	0	0	0	550	34	0	0	0	2721	88	147	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu767	941	3621	1571	916	2714	4674	712	187	605	3331	1338	3103	1146	1275	680	1114	1621	3891	521	5254	3360	3909	327	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1314	0	0	1643	0	0	639	292	556	728	5454	399	29	1	491	46	18	25	228	96	616	0	1	177	547	163	443	135	461	1	40	3	1	0	2	156	196	217	4281	451	2650	1122	4379	2114	128	1368	2717	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1398	0	0	0	0
Zotu11890	1710	462	1088	279	370	230	874	76	479	209	265	1	1346	85	1238	466	196	190	0	736	0	0	0	119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	1	3	0	0	0	0	0	0	0	14	0	0	1	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	0	3	6	1	2	1	0	2	0	0	8
Zotu8205	1912	285	255	1561	1532	1139	24	567	483	87	92	0	4964	6353	1184	1888	1880	842	312	0	3303	2308	1311	109	446	66	1	150	308	192	179	87	305	230	73	673	0	0	22	56	33	31	4	0	32	157	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	140	0	9	23	95	346	78	88	29	514	391	38	258	429	910	1387	899	3	133	75	380	271	172	333	0	0	690	0	0	2	0	0	0	0	0	33	38	1	0	0	0	0	7	24	0	0	0	44	0
Zotu926	982	158	1969	277	1	1015	0	0	0	0	161	4	0	0	2	1	1	0	0	0	0	1	0	0	1318	49	1691	5404	1193	1614	50	2908	7517	1209	851	1100	897	205	1534	3024	4156	2898	6505	2466	27	88	430	3761	1232	747	4837	13	1360	1	9	3473	22	6	0	1	1	1	1	0	1263	4454	546	3274	4140	3523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	154	2277	3559	265	1946	1910	637	1995	2885	914	187	208	2093	1106	4478	1697	573	92	2378	2005	293	277	3391	3240	0
Zotu8518	184	2994	598	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	23	0	1723	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	654	577	0	468	0	0	1521	0	59	1	36	0	0	0	0	0	753	464	172	0	704	2170	0
Zotu9674	383	473	48	216	185	188	127	76	77	1	941	611	247	130	0	27	114	305	261	1	602	210	0	22	33	138	7	0	0	0	30	0	0	0	1	2	0	0	0	0	0	0	11	1	0	44	0	26	10	60	30	1	27	60	21	14	8	0	49	120	7	47	34	528	236	173	69	91	73	58	6	116	6	10	2	0	11	16	17	105	17	15	28	44	104	1	0	39	0	1	0	0	0	0	3	0	0	3	18	0	3	0	126	0	0	0	48	0	66	0	0	113	32
Zotu7124	44	211	81	26	0	1	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	67	13	0	5	0	0	0	95	0	3	1	3	0	0	0	0	97	0	1	12	23	9	0	328	52	0	0	0	3	0	1	82	1	0	2	12	0	0	0	0	0	0	0	6	1	2	1	8	6	13	3	0	89	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	9	632	0	0	0	0	0
Zotu7095	146	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9990	59	1054	223	182	107	26	149	436	546	734	254	2761	2	622	2172	672	0	934	0	50	674	400	135	839	2023	0	0	0	5782	0	0	0	8478	3586	0	61	0	13	114	125	90	0	0	0	0	27	0	959	3702	5532	126	2255	588	63	616	306	0	207	4129	3333	0	0	0	0	12	6	1	3	1	0	21	27	0	37	20	24	280	44	100	19	50	362	4	1	24	100	14	35	0	0	5	81	0	0	0	0	59	0	0	208	0	0	0	0	0	0	41	0	43	0	0	0	111
Zotu95	45	4	0	213	6	111	1	37	260	0	0	175	297	172	0	0	691	1	93	0	339	2820	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
