>Zotu6549	Query_1
>Zotu926	Query_2
>Zotu9653	Query_3
>Zotu7980	Query_4
>Zotu8256	Query_5
>Zotu9990	Query_6
>Zotu9019	Query_7
>Zotu5979	Query_8
>Zotu9597	Query_9
>Zotu5533	Query_10
>Zotu9886	Query_11
>Zotu10721	Query_12
>Zotu7124	Query_13
>Zotu9911	Query_14
>Zotu6300	Query_15
>Zotu11890	Query_16
>Zotu7611	Query_17
>Zotu9576	Query_18
>Zotu7109	Query_19
>Zotu8129	Query_20
>Zotu8565	Query_21
>Zotu6392	Query_22
>Zotu9723	Query_23
>Zotu699	Query_24
>Zotu8197	Query_25
>Zotu7351	Query_26
>Zotu8518	Query_27
>Zotu7339	Query_28
>Zotu98	Query_29
>Zotu9657	Query_30
>Zotu9529	Query_31
>Zotu8848	Query_32
>Zotu873	Query_33
>Zotu9100	Query_34
>Zotu7628	Query_35
>Zotu6409	Query_36
>Zotu6314	Query_37
>Zotu7982	Query_38
>Zotu9300	Query_39
>Zotu9486	Query_40
>Zotu7693	Query_41
>Zotu8906	Query_42
>Zotu9824	Query_43
>Zotu8195	Query_44
>Zotu887	Query_45
>Zotu9106	Query_46
>Zotu8020	Query_47
>Zotu1723	Query_48
>Zotu9556	Query_49
>Zotu8608	Query_50
>Zotu9896	Query_51
>Zotu8049	Query_52
>Zotu7771	Query_53
>Zotu7892	Query_54
>Zotu983	Query_55
>Zotu7597	Query_56
>Zotu11775	Query_57
>Zotu9357	Query_58
>Zotu5821	Query_59
>Zotu8538	Query_60
>Zotu939	Query_61
>Zotu9270	Query_62
>Zotu2501	Query_63
>Zotu9322	Query_64
>Zotu7748	Query_65
>Zotu11467	Query_66
>Zotu9866	Query_67
>Zotu9642	Query_68
>Zotu621	Query_69
>Zotu9408	Query_70
>Zotu7494	Query_71
>Zotu8864	Query_72
>Zotu8216	Query_73
>Zotu9246	Query_74
>Zotu8351	Query_75
>Zotu9356	Query_76
>Zotu8965	Query_77
>Zotu897	Query_78
>Zotu7625	Query_79
>Zotu5928	Query_80
>Zotu6503	Query_81
>Zotu9933	Query_82
>Zotu8846	Query_83
>Zotu9607	Query_84
>Zotu10743	Query_85
>Zotu9258	Query_86
>Zotu9979	Query_87
>Zotu9058	Query_88
>Zotu8192	Query_89
>Zotu7003	Query_90
>Zotu9563	Query_91
>Zotu8450	Query_92
>Zotu10236	Query_93
>Zotu95	Query_94
>Zotu63	Query_95
>Zotu9987	Query_96
>Zotu8085	Query_97
>Zotu945	Query_98
>Zotu9132	Query_99
>Zotu8647	Query_100
>Zotu913	Query_101
>Zotu8271	Query_102
>Zotu9282	Query_103
>Zotu7923	Query_104
>Zotu4486	Query_105
>Zotu8265	Query_106
>Zotu9262	Query_107
>Zotu5313	Query_108
>Zotu9798	Query_109
>Zotu6810	Query_110
>Zotu9662	Query_111
>Zotu6276	Query_112
>Zotu5287	Query_113
>Zotu5785	Query_114
>Zotu5709	Query_115
>Zotu7095	Query_116
>Zotu10263	Query_117
>Zotu5593	Query_118
>Zotu5880	Query_119
>Zotu9266	Query_120
>Zotu6781	Query_121
>Zotu9920	Query_122
>Zotu8523	Query_123
>Zotu7636	Query_124
>Zotu10049	Query_125
>Zotu6429	Query_126
>Zotu7290	Query_127
>Zotu9208	Query_128
>Zotu8526	Query_129
>Zotu11493	Query_130
>Zotu9818	Query_131
>Zotu11542	Query_132
>Zotu11164	Query_133
>Zotu10503	Query_134
>Zotu6098	Query_135
>Zotu9611	Query_136
>Zotu9297	Query_137
>Zotu10075	Query_138
>Zotu10971	Query_139
>Zotu10620	Query_140
>Zotu11324	Query_141
