>Zotu926	Query_1
>Zotu6549	Query_2
>Zotu767	Query_3
>Zotu9597	Query_4
>Zotu8307	Query_5
>Zotu10349	Query_6
>Zotu10721	Query_7
>Zotu8037	Query_8
>Zotu9609	Query_9
>Zotu8205	Query_10
>Zotu7475	Query_11
>Zotu7975	Query_12
>Zotu7109	Query_13
>Zotu9990	Query_14
>Zotu9576	Query_15
>Zotu6733	Query_16
>Zotu9931	Query_17
>Zotu9911	Query_18
>Zotu8197	Query_19
>Zotu11890	Query_20
>Zotu3633	Query_21
>Zotu8518	Query_22
>Zotu7091	Query_23
>Zotu909	Query_24
>Zotu7339	Query_25
>Zotu9157	Query_26
>Zotu9351	Query_27
>Zotu7347	Query_28
>Zotu9000	Query_29
>Zotu9529	Query_30
>Zotu9464	Query_31
>Zotu6635	Query_32
>Zotu7980	Query_33
>Zotu9100	Query_34
>Zotu9477	Query_35
>Zotu7628	Query_36
>Zotu699	Query_37
>Zotu9195	Query_38
>Zotu6409	Query_39
>Zotu8565	Query_40
>Zotu98	Query_41
>Zotu6362	Query_42
>Zotu970	Query_43
>Zotu7989	Query_44
>Zotu5533	Query_45
>Zotu9981	Query_46
>Zotu772	Query_47
>Zotu7866	Query_48
>Zotu9300	Query_49
>Zotu7205	Query_50
>Zotu8020	Query_51
>Zotu9019	Query_52
>Zotu9674	Query_53
>Zotu8608	Query_54
>Zotu8049	Query_55
>Zotu8812	Query_56
>Zotu9043	Query_57
>Zotu6392	Query_58
>Zotu5186	Query_59
>Zotu9127	Query_60
>Zotu9635	Query_61
>Zotu9431	Query_62
>Zotu8195	Query_63
>Zotu9837	Query_64
>Zotu9810	Query_65
>Zotu9106	Query_66
>Zotu8567	Query_67
>Zotu4575	Query_68
>Zotu8000	Query_69
>Zotu8906	Query_70
>Zotu7611	Query_71
>Zotu6314	Query_72
>Zotu7409	Query_73
>Zotu7022	Query_74
>Zotu9163	Query_75
>Zotu5191	Query_76
>Zotu9531	Query_77
>Zotu10973	Query_78
>Zotu9453	Query_79
>Zotu7124	Query_80
>Zotu9653	Query_81
>Zotu9613	Query_82
>Zotu9486	Query_83
>Zotu939	Query_84
>Zotu8554	Query_85
>Zotu974	Query_86
>Zotu7305	Query_87
>Zotu5979	Query_88
>Zotu855	Query_89
>Zotu8175	Query_90
>Zotu9270	Query_91
>Zotu9956	Query_92
>Zotu9886	Query_93
>Zotu9425	Query_94
>Zotu8947	Query_95
>Zotu9657	Query_96
>Zotu9528	Query_97
>Zotu9723	Query_98
>Zotu8256	Query_99
>Zotu9322	Query_100
>Zotu9896	Query_101
>Zotu9966	Query_102
>Zotu8522	Query_103
>Zotu4578	Query_104
>Zotu9484	Query_105
>Zotu9398	Query_106
>Zotu90	Query_107
>Zotu8538	Query_108
>Zotu2501	Query_109
>Zotu11467	Query_110
>Zotu9866	Query_111
>Zotu9408	Query_112
>Zotu5256	Query_113
>Zotu621	Query_114
>Zotu8602	Query_115
>Zotu7748	Query_116
>Zotu9352	Query_117
>Zotu9246	Query_118
>Zotu7693	Query_119
>Zotu7351	Query_120
>Zotu7494	Query_121
>Zotu9421	Query_122
