#OTU ID	MMPRNT1465	MMPRNT1466	MMPRNT1467	MMPRNT1468	MMPRNT1469	MMPRNT1470	MMPRNT1471	MMPRNT1472	MMPRNT1473	MMPRNT1474	MMPRNT1475	MMPRNT1476	MMPRNT1477	MMPRNT1478	MMPRNT1479	MMPRNT1480	MMPRNT1481	MMPRNT1482	MMPRNT1483	MMPRNT1484	MMPRNT1485	MMPRNT1486	MMPRNT1487	MMPRNT1488	MMPRNT1537	MMPRNT1538	MMPRNT1539	MMPRNT1540	MMPRNT1541	MMPRNT1542	MMPRNT1543	MMPRNT1544	MMPRNT1545	MMPRNT1546	MMPRNT1547	MMPRNT1548	MMPRNT1549	MMPRNT1550	MMPRNT1551	MMPRNT1552	MMPRNT1553	MMPRNT1554	MMPRNT1555	MMPRNT1556	MMPRNT1557	MMPRNT1558	MMPRNT1559	MMPRNT1616	MMPRNT1617	MMPRNT1618	MMPRNT1619	MMPRNT1620	MMPRNT1621	MMPRNT1622	MMPRNT1623	MMPRNT1624	MMPRNT1625	MMPRNT1626	MMPRNT1627	MMPRNT1628	MMPRNT1629	MMPRNT1630	MMPRNT1631	MMPRNT1632	MMPRNT1681	MMPRNT1682	MMPRNT1683	MMPRNT1684	MMPRNT1685	MMPRNT1686	MMPRNT1687	MMPRNT1688	MMPRNT1689	MMPRNT1690	MMPRNT1691	MMPRNT1692	MMPRNT1693	MMPRNT1694	MMPRNT1695	MMPRNT1696	MMPRNT1697	MMPRNT1698	MMPRNT1699	MMPRNT1700	MMPRNT1701	MMPRNT1702	MMPRNT1703	MMPRNT1704	MMPRNT1753	MMPRNT1754	MMPRNT1755	MMPRNT1756	MMPRNT1757	MMPRNT1758	MMPRNT1759	MMPRNT1760	MMPRNT1761	MMPRNT1762	MMPRNT1763	MMPRNT1764	MMPRNT1765	MMPRNT1766	MMPRNT1767	MMPRNT1768	MMPRNT1769	MMPRNT1770	MMPRNT1771	MMPRNT1772	MMPRNT1773	MMPRNT1774	MMPRNT1775	MMPRNT1776	MMPRNTCtrl7BB5
Zotu9338	943	3638	1568	915	2717	4676	711	184	606	3331	1338	3098	1142	1266	676	1110	1620	3868	516	5236	3355	3873	327	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1303	0	0	1637	0	0	638	291	546	725	5444	399	29	0	481	46	19	23	228	94	619	0	1	179	549	164	456	136	475	0	40	3	0	0	0	159	203	218	4345	461	2669	1132	4441	2144	132	1385	2749	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1399	0	0	0	0
Zotu7339	571	0	2393	3	0	0	148	1	0	0	0	721	250	260	360	27	0	874	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	35	36	0	1707	0	0	0	3	320	0	0	0	0	0	0	272	337	4849	1	0	0	0
Zotu8020	466	544	166	600	1822	790	769	711	1012	1075	593	463	47	22	0	0	131	0	79	1683	1129	1452	220	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1676	432	116	259	0	57	0	0	0	102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu7611	594	191	613	127	21	6	0	8	135	0	0	0	494	665	0	249	123	141	0	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	112	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10535	933	919	567	233	2098	205	468	128	677	1119	0	667	823	0	1	0	101	0	375	0	0	0	0	126	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1706	15	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	926	118	51	402	256	0	146	2104	1009	3	0	33	376	394	583	1	31	722	897	246	190	588	532	0
Zotu9300	588	0	0	332	11	0	24	51	0	0	0	0	0	0	550	34	0	0	0	2721	88	147	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11890	1710	462	1088	280	370	230	873	76	479	209	265	1	1346	85	1238	466	196	190	0	737	0	0	0	119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	1	3	0	0	0	0	0	0	0	14	0	0	1	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	0	3	6	1	2	1	0	2	0	0	8
Zotu926	982	159	1970	277	1	1015	0	0	0	0	161	4	0	0	1	0	0	0	0	0	0	0	0	0	1318	49	1692	5404	1193	1614	50	2908	7517	1208	853	1100	897	205	1533	3023	4157	2898	6506	2465	27	88	430	3761	1232	747	4837	13	1360	1	9	3473	22	5	0	0	0	1	0	0	1263	4456	548	3274	4138	3525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	154	2277	3559	265	1947	1911	637	1995	2886	913	187	208	2093	1106	4479	1697	573	92	2379	2006	293	277	3391	3240	0
Zotu8518	184	2992	598	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	23	0	1723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	654	577	0	468	0	0	1521	0	59	1	36	0	0	0	0	0	753	464	172	0	704	2170	0
Zotu9674	383	476	49	216	185	189	127	76	78	1	941	612	248	130	0	27	114	305	261	1	602	210	0	23	34	139	7	0	0	0	31	0	0	0	1	3	0	0	0	0	0	0	11	1	0	45	0	26	10	60	30	1	27	62	21	15	8	0	49	119	7	48	34	531	238	174	69	93	74	58	6	117	6	10	2	0	11	16	18	105	18	15	28	45	104	1	0	40	0	2	0	0	0	0	3	0	0	3	18	0	3	0	126	0	0	0	48	0	66	0	0	113	35
Zotu7095	146	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7124	49	215	84	30	1	2	0	3	2	1	2	2	335	17	7	10	4	5	0	5	8	13	5	2	1	0	0	0	67	15	0	5	2	0	0	96	0	3	1	4	0	0	0	0	100	0	1	12	23	9	0	332	54	1	1	2	3	0	2	83	1	1	2	12	2	0	1	1	0	2	1	6	1	10	5	10	11	13	7	13	99	4	3	8	4	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	9	633	0	0	0	1	0
Zotu11775	185	199	109	59	118	23	95	25	2	3	332	306	1	0	0	1	130	19	2	0	62	4	0	13	6	83	1	0	0	0	4	0	0	0	81	2	0	0	0	6	0	4	0	0	1	0	5	5	4	22	25	0	4	8	6	23	0	0	28	21	5	18	6	219	58	56	37	14	0	22	3	48	3	0	0	0	11	6	7	22	3	0	2	15	61	2	0	13	0	4	75	0	0	0	0	0	0	0	0	0	23	0	120	0	1	0	0	2	0	0	0	0	18
Zotu9990	60	1055	223	182	107	26	150	437	547	734	254	2762	2	622	2173	672	0	936	0	51	674	400	137	839	2025	0	0	0	5780	0	0	0	8480	3587	0	61	0	13	114	125	90	0	0	0	3	27	1	959	3702	5535	126	2255	590	69	619	310	0	209	4131	3338	0	0	0	0	14	8	2	6	2	1	21	27	0	38	21	25	282	45	101	20	50	363	5	1	26	102	15	35	0	0	5	81	0	0	0	0	59	0	0	209	0	0	0	0	0	0	41	0	44	0	0	1	112
Zotu95	45	4	0	213	6	111	1	37	260	0	0	175	297	172	0	0	691	1	93	0	339	2821	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8608	193	165	221	190	67	0	0	30	0	1046	0	1121	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	225	0	8	8	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	157	530	2	113	30	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8049	73	217	1311	29	228	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	3	44	3869	545	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068
Zotu9657	98	0	1519	1	0	60	0	0	0	0	0	0	214	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	37	0	0	0	17
Zotu6549	110	1	1	18	1058	847	32	17	106	4268	1643	1356	1906	0	753	4	311	291	5958	1976	421	2423	102	64	1150	0	477	771	385	1816	6	558	92	96	116	125	396	20	333	176	69	104	131	94	6	44	116	78	226	315	594	400	61	521	43	39	1	443	4484	473	6	2	165	522	1000	314	224	519	598	885	2	6	4	2	4	9	6	3	3	42	3	1	2	3	2	2	5	5	2365	2919	1051	178	457	662	785	1089	1737	531	1742	585	114	590	0	597	2513	536	897	499	260	1123	1659	1996	144
Zotu9576	14	11	218	75	454	546	616	631	1619	1507	1354	2020	321	113	2146	2028	160	1789	3975	665	1278	2209	363	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1362	633	4009	891	2579	2733	489	175	248	15	433	188	48	291	0	34	106	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7693	82	470	826	61	433	9	22	48	119	527	0	330	848	0	0	0	0	0	68	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	854	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	1	0	0	0	0	0	0	78	0	391	60	0
