>Zotu9886	Query_1
>Zotu8129	Query_2
>Zotu6454	Query_3
>Zotu8554	Query_4
>Zotu926	Query_5
>Zotu9990	Query_6
>Zotu8256	Query_7
>Zotu873	Query_8
>Zotu939	Query_9
>Zotu7351	Query_10
>Zotu5979	Query_11
>Zotu6409	Query_12
>Zotu7124	Query_13
>Zotu8049	Query_14
>Zotu11890	Query_15
>Zotu6300	Query_16
>Zotu7109	Query_17
>Zotu6392	Query_18
>Zotu8565	Query_19
>Zotu7771	Query_20
>Zotu699	Query_21
>Zotu9357	Query_22
>Zotu9106	Query_23
>Zotu7693	Query_24
>Zotu7339	Query_25
>Zotu98	Query_26
>Zotu9866	Query_27
>Zotu9657	Query_28
>Zotu9100	Query_29
>Zotu6314	Query_30
>Zotu9356	Query_31
>Zotu9300	Query_32
>Zotu9486	Query_33
>Zotu8192	Query_34
>Zotu9824	Query_35
>Zotu8195	Query_36
>Zotu8020	Query_37
>Zotu8608	Query_38
>Zotu5186	Query_39
>Zotu897	Query_40
>Zotu8538	Query_41
>Zotu9979	Query_42
>Zotu5821	Query_43
>Zotu9270	Query_44
>Zotu2501	Query_45
>Zotu9322	Query_46
>Zotu8864	Query_47
>Zotu7625	Query_48
>Zotu8526	Query_49
>Zotu8216	Query_50
>Zotu7494	Query_51
>Zotu6503	Query_52
>Zotu5928	Query_53
>Zotu8846	Query_54
>Zotu9933	Query_55
>Zotu9607	Query_56
>Zotu8523	Query_57
>Zotu9058	Query_58
>Zotu10743	Query_59
>Zotu11091	Query_60
>Zotu7003	Query_61
>Zotu9282	Query_62
>Zotu95	Query_63
>Zotu63	Query_64
>Zotu8085	Query_65
>Zotu8450	Query_66
>Zotu9987	Query_67
>Zotu9132	Query_68
>Zotu913	Query_69
>Zotu945	Query_70
>Zotu8271	Query_71
>Zotu9262	Query_72
>Zotu5313	Query_73
>Zotu8265	Query_74
>Zotu9798	Query_75
>Zotu9266	Query_76
>Zotu6810	Query_77
>Zotu6276	Query_78
>Zotu7095	Query_79
>Zotu10263	Query_80
>Zotu5880	Query_81
>Zotu5709	Query_82
>Zotu5593	Query_83
>Zotu5785	Query_84
>Zotu9920	Query_85
>Zotu7290	Query_86
>Zotu9208	Query_87
>Zotu7636	Query_88
>Zotu10049	Query_89
>Zotu6781	Query_90
>Zotu6429	Query_91
>Zotu11493	Query_92
>Zotu10971	Query_93
>Zotu11164	Query_94
>Zotu10620	Query_95
>Zotu10075	Query_96
>Zotu9611	Query_97
>Zotu11542	Query_98
>Zotu6098	Query_99
>Zotu11324	Query_100
>Zotu9297	Query_101
>Zotu9818	Query_102
>Zotu10503	Query_103
>Zotu11166	Query_104
